order_id,food_id,time,date,day
1,"b3, d2",07:19 PM,03/01/2025,Friday
2,"b2, e1, c1",03:54 PM,14/01/2025,Tuesday
3,"a1, c1, e1",02:33 PM,17/01/2025,Friday
4,"b2, c1, a1, a3",02:30 PM,20/01/2025,Monday
5,"a4, b1, e1, c2",12:44 PM,23/01/2025,Thursday
6,"b1, a4, a2",06:58 PM,27/01/2025,Monday
7,"c2, a3, b1, d2",02:20 PM,08/02/2025,Saturday
8,"a4, b1, e1, c2",05:57 PM,12/02/2025,Wednesday
9,"a3, b2",10:12 AM,13/02/2025,Thursday
10,b2,07:22 PM,14/02/2025,Friday
11,"a4, c2, d1, b3, e1",12:03 PM,06/03/2025,Thursday
12,"d1, c2, b2, b3, a2",01:30 PM,13/03/2025,Thursday
13,b1,11:14 AM,15/03/2025,Saturday
14,"d2, a1, a3",04:07 PM,20/03/2025,Thursday
15,"d2, c2, b2",02:47 PM,23/03/2025,Sunday
16,b3,12:44 PM,29/03/2025,Saturday
17,"e1, d1, c1, b3, c2",06:21 PM,02/04/2025,Wednesday
18,b1,03:43 PM,04/04/2025,Friday
19,"d2, b3, a1, e1",03:13 PM,05/04/2025,Saturday
20,"b2, a4, d2",10:47 AM,06/04/2025,Sunday
21,"b2, a3, d1, b3, a4",10:21 AM,13/04/2025,Sunday
22,"d1, c2",09:13 PM,22/04/2025,Tuesday
23,"a1, a2, a3, b2, d2",12:58 PM,02/05/2025,Friday
24,c1,06:09 PM,03/05/2025,Saturday
25,"a2, a3, d1, e1, a4",12:28 PM,11/05/2025,Sunday
26,"e1, b2, a4, d2",02:27 PM,14/05/2025,Wednesday
27,"a4, a1",11:53 AM,18/05/2025,Sunday
28,"b1, a4",07:24 PM,20/05/2025,Tuesday
29,"d1, c2, d2, a3, a1",09:45 PM,26/05/2025,Monday
30,"a1, b2, a2, b3, e1",07:46 PM,07/06/2025,Saturday
31,"a3, a4",06:10 PM,12/06/2025,Thursday
32,"c1, d1",01:11 PM,17/06/2025,Tuesday
33,c2,08:48 PM,20/06/2025,Friday
34,"b1, b2",09:03 PM,28/06/2025,Saturday
35,a3,06:01 PM,30/06/2025,Monday
36,"a3, c2, d1",04:33 PM,04/07/2025,Friday
37,"a2, b2, b1, b3",10:21 AM,30/07/2025,Wednesday
38,"a3, b3, d1, b2, a1",04:23 PM,17/08/2025,Sunday
39,"d1, a4, c2, a3",06:31 PM,22/08/2025,Friday
40,"a3, c1, b2",01:45 PM,27/08/2025,Wednesday
41,"a2, c2, a1",10:22 AM,28/08/2025,Thursday
42,"a2, b1, b3, c2",04:58 PM,04/09/2025,Thursday
43,"a4, e1, d2, c1",03:24 PM,10/09/2025,Wednesday
44,"b2, a2",03:26 PM,15/09/2025,Monday
45,"c2, b3",04:22 PM,16/10/2025,Thursday
46,"a1, d2, b3, a2",08:18 PM,23/10/2025,Thursday
47,a4,03:07 PM,30/10/2025,Thursday
48,"c1, e1, b3",01:10 PM,24/11/2025,Monday
49,"a4, a2",08:53 PM,22/12/2025,Monday
50,"a4, c1, d1, d2, b1",06:07 PM,31/12/2025,Wednesday
